rank,city,homicides,rate_per_100k,model,flag,color
1,Cleveland,43,11.82,direct_live_endpoint,—,#EF4444
2,St. Louis,33,11.71,direct_live_endpoint,—,#EF4444
3,Kansas City,41,8.03,direct_live_endpoint,—,#EF4444
4,Birmingham,15,7.63,direct_live_endpoint,—,#EF4444
5,New Orleans,27,7.41,direct_live_endpoint,—,#EF4444
6,Detroit,42,6.51,direct_live_endpoint,—,#EF4444
7,Milwaukee,34,5.89,live_delayed_modeled,NOT MATCHING,#F87171
8,Baltimore,33,5.84,direct_live_endpoint,—,#F87171
9,Baton Rouge,13,5.72,direct_live_endpoint,—,#F87171
10,Atlanta,28,5.48,direct_live_endpoint,—,#F87171
11,Chicago,131,4.92,direct_live_endpoint,—,#F87171
12,Las Vegas,31,4.83,direct_live_endpoint,—,#FB923C
13,Louisville,30,4.82,direct_live_endpoint,—,#FB923C
14,Washington DC,31,4.57,direct_live_endpoint,—,#FB923C
15,Cincinnati,14,4.41,direct_live_endpoint,—,#FB923C
16,Toledo,10,3.77,direct_live_endpoint,—,#FB923C
17,Indianapolis,33,3.75,direct_live_endpoint,—,#FB923C
18,Pittsburgh,11,3.63,direct_live_endpoint,—,#FACC15
19,Norfolk,8,3.43,direct_live_endpoint,—,#FACC15
20,Colorado Springs,15,3.13,direct_live_endpoint,—,#FACC15
21,Charlotte,26,2.85,direct_live_endpoint,—,#FACC15
22,Minneapolis,12,2.79,direct_live_endpoint,—,#FACC15
23,Nashville,18,2.51,direct_live_endpoint,—,#A3E635
24,Philadelphia,39,2.43,direct_live_endpoint,—,#A3E635
25,San Francisco,21,2.4,direct_live_endpoint,—,#A3E635
26,Sacramento,12,2.29,direct_live_endpoint,—,#A3E635
27,Buffalo,6,2.17,direct_live_endpoint,—,#A3E635
28,Dallas,28,2.15,direct_live_endpoint,—,#A3E635
29,Salt Lake City,4,1.95,direct_live_endpoint,—,#A3E635
30,Columbus,17,1.86,direct_live_endpoint,—,#A3E635
31,Virginia Beach,8,1.75,direct_live_endpoint,—,#A3E635
32,San Antonio,26,1.74,direct_live_endpoint,—,#A3E635
33,Austin,17,1.73,direct_live_endpoint,—,#A3E635
34,Denver,12,1.68,direct_live_endpoint,—,#34D399
35,Jacksonville,14,1.47,direct_live_endpoint,—,#34D399
36,Honolulu,4,1.14,direct_live_endpoint,—,#34D399
37,Fort Worth,10,1.09,direct_live_endpoint,—,#34D399
38,Raleigh,5,1.04,direct_live_endpoint,—,#34D399
39,Newark,3,0.98,direct_live_endpoint,—,#34D399
40,Rochester,2,0.97,direct_live_endpoint,—,#34D399
41,Riverside,3,0.95,direct_live_endpoint,—,#34D399
42,Seattle,7,0.93,direct_live_endpoint,—,#34D399
43,New York City,77,0.92,direct_live_endpoint,—,#34D399
44,Los Angeles,36,0.92,live_delayed_modeled,NOT MATCHING,#34D399
45,Spokane,2,0.87,direct_live_endpoint,—,#34D399
46,San Diego,10,0.72,direct_live_endpoint,—,#34D399
47,St. Paul,2,0.65,direct_live_endpoint,—,#34D399
48,Portland,4,0.61,live_delayed_modeled,as_of 2026-03-27,#34D399
49,Boston,3,0.44,direct_live_endpoint,—,#34D399
50,Omaha,2,0.41,direct_live_endpoint,—,#34D399
51,Mesa,1,0.2,direct_live_endpoint,—,#34D399
52,Tampa,0,0.0,direct_live_endpoint,—,#34D399
53,Lincoln,0,0.0,direct_live_endpoint,—,#34D399
54,Memphis,0,0.0,direct_live_endpoint,—,#34D399
55,Boise,0,0.0,direct_live_endpoint,—,#34D399
