rank,city,homicides,rate_per_100k,rate_percentile,data_source,model,flag,color
1,St. Louis,66,23.73,100.0,pdf,direct_live_endpoint,—,#C0E4D8
2,Kansas City,108,20.72,98.31,socrata,direct_live_endpoint,—,#C0E4D8
3,Memphis,117,19.19,96.61,arcgis,direct_live_endpoint,—,#C0E4D8
4,Cleveland,68,18.7,94.92,arcgis,direct_live_endpoint,—,#C0E4D8
5,Baton Rouge,31,13.91,93.22,socrata,direct_live_endpoint,—,#C0E4D8
6,Birmingham,25,12.71,91.53,ckan_latest_pdf,direct_live_endpoint,—,#C0E4D8
7,Detroit,67,10.32,89.83,arcgis,direct_live_endpoint,—,#A8D8D1
8,New Orleans,36,9.94,88.14,socrata,direct_live_endpoint,—,#A8D8D1
9,Baltimore,51,8.95,86.44,arcgis,direct_live_endpoint,—,#A8D8D1
10,Atlanta,46,8.69,84.75,arcgis,direct_live_endpoint,—,#A8D8D1
11,Norfolk,19,8.22,83.05,socrata,direct_live_endpoint,—,#A8D8D1
12,Richmond,19,8.01,81.36,html_count,direct_live_endpoint,—,#A8D8D1
13,Chicago,214,7.83,79.66,socrata,direct_live_endpoint,—,#90CACC
14,Las Vegas,51,7.5,77.97,arcgis,direct_live_endpoint,—,#90CACC
15,Washington DC,49,7.06,76.27,arcgis,direct_live_endpoint,—,#90CACC
16,Cincinnati,22,7.0,74.58,socrata,direct_live_endpoint,—,#90CACC
17,Louisville,44,6.85,72.88,arcgis,direct_live_endpoint,—,#90CACC
18,Minneapolis,24,5.58,71.19,arcgis,direct_live_endpoint,—,#90CACC
19,Indianapolis,50,5.55,69.49,arcgis,direct_live_endpoint,—,#78B0BF
20,Tallahassee,11,5.37,67.8,arcgis,direct_live_endpoint,CAD_TOPS,#78B0BF
21,Toledo,14,5.31,66.1,html_count,direct_live_endpoint,—,#78B0BF
22,Philadelphia,83,5.27,64.41,carto,direct_live_endpoint,—,#78B0BF
23,Pittsburgh,16,5.2,62.71,ckan_sql,direct_live_endpoint,—,#78B0BF
24,Albuquerque,27,4.85,61.02,html_regex,direct_live_endpoint,—,#78B0BF
25,Colorado Springs,23,4.65,59.32,socrata,direct_live_endpoint,—,#6191B2
26,Columbus,41,4.37,57.63,html_count,direct_live_endpoint,—,#6191B2
27,Houston,102,4.25,55.93,incident_csv,live_delayed_modeled,NOT MATCHING | as_of 2026-05-31,#6191B2
28,Oakland,18,4.08,54.24,socrata,direct_live_endpoint,—,#6191B2
29,Charlotte,39,4.04,52.54,arcgis,direct_live_endpoint,—,#6191B2
30,Virginia Beach,18,3.97,50.85,arcgis,direct_live_endpoint,—,#6191B2
31,Buffalo,10,3.64,49.15,socrata,direct_live_endpoint,—,#6191B2
32,Nashville,23,3.19,47.46,arcgis,direct_live_endpoint,—,#6191B2
33,Sacramento,16,2.98,45.76,arcgis,direct_live_endpoint,—,#6191B2
34,San Francisco,24,2.91,42.37,socrata,direct_live_endpoint,—,#6191B2
35,Rochester,6,2.91,42.37,arcgis,direct_live_endpoint,—,#6191B2
36,San Antonio,44,2.84,40.68,ckan_sql,direct_live_endpoint,—,#6191B2
37,Salt Lake City,6,2.75,38.98,arcgis,direct_live_endpoint,—,#4A6FA5
